,,
,"SR ROUTE PLAN",
,,
,,
"Route","Section","CLUSTER"
"Tinrasta Mour"


"13No Bus Stand"

"Bosila Road Nama Bazar"

"Kaderabad Nama Bazar"

"Mohammadpur Bus Stand"

"Nama Bazar"

"Satmasjid Super Market"

"Supar Market"

"Tempoo Stand Gas Factory"



52,"DS","4No Housing"
52,"DS"," 6No Beribadh"
52,"DS"," 6No Housing"
52,"DS"," Beribadh"
52,"DS"," Beribandh Main Road"
52,"DS"," Beribandh Mina Bazar"
52,"DS"," Houisng 3 No."
52,"DS"," Houisng 4 No."
52,"DS"," Houisng 6 No."
52,"DS"," Mohammadi Housing 5 No."
52,"DS"," Nobi Nagar 7no"
52,"DS"," Nobinagar 7 No. Road"
52,"DS"," Nobinagar Bazar"
52,"DS"," Sat Masjid Madrasa"


"Al Noor Real Estate"
53,"B","Chand Uddyan Housing"
"Beribandh"
"Chand Uddyan Housing"
"Chand Uddyan Main Road"
"Sat Masjid Madrasa"
"Shopnonir Housing"

"Hospital Road"

"Mohammadia Housing Society"

"Nobodoy 10 No. Road"

"Nobodoy Bazar"

"Nobodoy Dhal"

"Nobodoy Kamal Housing"

"Nobodoy main Road"




"Akkas nagar Dhaka Uddyan"

"Azim Tower Beribandh"

"Dhaka Uddyan 3 No. Road"

"Sunirbir Housing Bazar"
"Switch Gate Beribandh"



"Adabar 13 No. Road"

"Adabar 13 No. Road inside"

"Adabar 16 No. Bazar Road"

"Adabar 17 No. Main Road"

"Adabar 17 No. Road A"

"Adabar 17 No. Road B"

"Adabar 17 No. Road C"

"Adabar 18 No. Road B"




"Adabar Bazar"
"Ahsan Ullah market"
"Nobodoy Housing Main Road"
"Shekertak 2"
"Shekertak 3"
"Shekertek 1"
"Shekertek 2"
"Shekertek 20"
"Shekertek 3"
"Shekertek 4"
"Shekertek 7 No. Mour"
"Shekertek 7"
"Shekertek 8"
"Shekertek 9"



"1 No. Adabar"
"Adabar 2 No. Road"
"Adabar Chad Tola"
"Adabar Chad Tola Mosjid Goli"
"Adabar Dhaka Housing"
"Mehedibag 1 No. Road"
"Mehedibag 2 No. Road"
"Mehedibag 3 No. Road"
"Mehedibag 4 No. Road"


59,"DS","Kawranbazar"
59,"DS"," Mohammadpur"
59,"DS"," Kathal Bagan"
59,"DS"," Kolmilota market"
61,"A","Chand Uddan R-7"
61,"B","Dhaka Uddan Road 2 Block C"
61,"A"," Satmosjid Housing"
61,"B"," Turag Housing"

62,"A","Salam Shordar Road"
62,"B","Metro Housing"
62,"A"," Bhai Bhai Road"
62,"B"," Shajalal Housing"
