,,,,,,SR ROUTE PLAN,,,
,,,,,,,,,
,,,,,,,,,
SL No,Region ,Area,Territory,"Distribution 
point/Dealer/ Sub-Distributor",Route,Section,CLUSTER,,
64,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,A, Square Hospital," Square Hospital"",",""" Square Hospital"","
65,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS,Basundhara City,"Basundhara City"",","""Basundhara City"","
66,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Basundhara City East Side," Basundhara City East Side"",",""" Basundhara City East Side"","
67,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Basundhara City West Side," Basundhara City West Side"",",""" Basundhara City West Side"","
68,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Garden Road," Garden Road"",",""" Garden Road"","
69,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Garden Road," Garden Road"",",""" Garden Road"","
70,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Pantho Path," Pantho Path"",",""" Pantho Path"","
71,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Green Road Pantha Path," Green Road Pantha Path"",",""" Green Road Pantha Path"","
72,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Near Suvastu Tower," Near Suvastu Tower"",",""" Near Suvastu Tower"","
73,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Pantho Path," Pantho Path"",",""" Pantho Path"","
74,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Pantho Path Main Road," Pantho Path Main Road"",",""" Pantho Path Main Road"","
75,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Pantho Path Signal," Pantho Path Signal"",",""" Pantho Path Signal"","
76,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Pantho Path," Pantho Path"",",""" Pantho Path"","
77,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Basundhara City," Basundhara City"",",""" Basundhara City"","
78,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Samurai Convensionery," Samurai Convensionery"",",""" Samurai Convensionery"","
79,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Sumurai Convensionery," Sumurai Convensionery"",",""" Sumurai Convensionery"","
80,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,6,DS, Victoria University," Victoria University"",",""" Victoria University"","
81,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,7,A,East Raza Bazar,"East Raza Bazar"",","""East Raza Bazar"","
82,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,7,A, Sobhanbag," Sobhanbag"",",""" Sobhanbag"","
83,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,7,B, Sobhanbag," Sobhanbag"",",""" Sobhanbag"","
84,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,7,A, T&T Field," T&T Field"",",""" T&T Field"","
85,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,7,B, Sukrabad Baazar," Sukrabad Baazar"",",""" Sukrabad Baazar"","
86,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,7,B, New Model College," New Model College"",",""" New Model College"","
87,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,7,B, Pantho Path Dhali Bari," Pantho Path Dhali Bari"",",""" Pantho Path Dhali Bari"","
